2025-01-26 16:56:27,765 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'gamma': 0.7, 'batch_size': 64, 'learning_rate': 0.01, 'target_update': 100, 'n_steps': 3}
2025-01-26 16:56:27,766 - dqn - INFO - Device: cuda
2025-01-26 16:56:43,615 - dqn - INFO - Finished episode 0; total score 110; avg score 110; epsilon 1.0000000000
2025-01-26 16:57:02,646 - dqn - INFO - Finished episode 1; total score 115; avg score 112; epsilon 0.9950000000
2025-01-26 16:57:21,446 - dqn - INFO - Finished episode 2; total score 120; avg score 115; epsilon 0.9900250000
2025-01-26 16:57:42,776 - dqn - INFO - Finished episode 3; total score 210; avg score 139; epsilon 0.9850748750
2025-01-26 16:57:57,396 - dqn - INFO - Finished episode 4; total score 30; avg score 117; epsilon 0.9801495006
2025-01-26 16:58:18,134 - dqn - INFO - Finished episode 5; total score 155; avg score 123; epsilon 0.9752487531
2025-01-26 16:58:31,648 - dqn - INFO - Finished episode 6; total score 50; avg score 113; epsilon 0.9703725094
2025-01-26 16:58:50,087 - dqn - INFO - Finished episode 7; total score 105; avg score 112; epsilon 0.9655206468
2025-01-26 16:59:16,146 - dqn - INFO - Finished episode 8; total score 100; avg score 111; epsilon 0.9606930436
2025-01-26 16:59:39,712 - dqn - INFO - Finished episode 9; total score 100; avg score 110; epsilon 0.9558895784
2025-01-26 17:00:06,356 - dqn - INFO - Finished episode 10; total score 210; avg score 119; epsilon 0.9511101305
2025-01-26 17:00:52,361 - dqn - INFO - Finished episode 11; total score 455; avg score 147; epsilon 0.9463545798
2025-01-26 17:01:09,016 - dqn - INFO - Finished episode 12; total score 135; avg score 146; epsilon 0.9416228069
2025-01-26 17:01:33,950 - dqn - INFO - Finished episode 13; total score 155; avg score 146; epsilon 0.9369146929
2025-01-26 17:01:47,209 - dqn - INFO - Finished episode 14; total score 75; avg score 142; epsilon 0.9322301194
2025-01-26 17:01:59,032 - dqn - INFO - Finished episode 15; total score 20; avg score 134; epsilon 0.9275689688
2025-01-26 17:02:23,124 - dqn - INFO - Finished episode 16; total score 125; avg score 134; epsilon 0.9229311240
2025-01-26 17:02:44,384 - dqn - INFO - Finished episode 17; total score 140; avg score 134; epsilon 0.9183164684
2025-01-26 17:03:04,378 - dqn - INFO - Finished episode 18; total score 65; avg score 130; epsilon 0.9137248860
2025-01-26 17:03:25,486 - dqn - INFO - Finished episode 19; total score 130; avg score 130; epsilon 0.9091562616
2025-01-26 17:03:57,036 - dqn - INFO - Finished episode 20; total score 210; avg score 134; epsilon 0.9046104803
2025-01-26 17:04:17,367 - dqn - INFO - Finished episode 21; total score 50; avg score 130; epsilon 0.9000874279
2025-01-26 17:04:57,242 - dqn - INFO - Finished episode 22; total score 315; avg score 138; epsilon 0.8955869907
2025-01-26 17:05:07,907 - dqn - INFO - Finished episode 23; total score 80; avg score 136; epsilon 0.8911090558
2025-01-26 17:05:37,132 - dqn - INFO - Finished episode 24; total score 85; avg score 134; epsilon 0.8866535105
2025-01-26 17:05:57,416 - dqn - INFO - Finished episode 25; total score 105; avg score 133; epsilon 0.8822202429
2025-01-26 17:06:31,023 - dqn - INFO - Finished episode 26; total score 375; avg score 142; epsilon 0.8778091417
2025-01-26 17:06:48,692 - dqn - INFO - Finished episode 27; total score 35; avg score 138; epsilon 0.8734200960
2025-01-26 17:07:23,527 - dqn - INFO - Finished episode 28; total score 340; avg score 145; epsilon 0.8690529955
2025-01-26 17:07:43,278 - dqn - INFO - Finished episode 29; total score 135; avg score 144; epsilon 0.8647077306
2025-01-26 17:07:57,965 - dqn - INFO - Finished episode 30; total score 110; avg score 143; epsilon 0.8603841919
2025-01-26 17:08:22,519 - dqn - INFO - Finished episode 31; total score 215; avg score 146; epsilon 0.8560822710
2025-01-26 17:08:40,071 - dqn - INFO - Finished episode 32; total score 135; avg score 145; epsilon 0.8518018596
2025-01-26 17:09:06,046 - dqn - INFO - Finished episode 33; total score 150; avg score 145; epsilon 0.8475428503
2025-01-26 17:09:22,811 - dqn - INFO - Finished episode 34; total score 135; avg score 145; epsilon 0.8433051361
2025-01-26 17:09:38,537 - dqn - INFO - Finished episode 35; total score 105; avg score 144; epsilon 0.8390886104
2025-01-26 17:10:23,421 - dqn - INFO - Finished episode 36; total score 240; avg score 147; epsilon 0.8348931673
2025-01-26 17:10:44,163 - dqn - INFO - Finished episode 37; total score 105; avg score 146; epsilon 0.8307187015
2025-01-26 17:11:08,840 - dqn - INFO - Finished episode 38; total score 135; avg score 145; epsilon 0.8265651080
2025-01-26 17:11:36,019 - dqn - INFO - Finished episode 39; total score 180; avg score 146; epsilon 0.8224322824
2025-01-26 17:11:49,631 - dqn - INFO - Finished episode 40; total score 55; avg score 144; epsilon 0.8183201210
2025-01-26 17:12:34,264 - dqn - INFO - Finished episode 41; total score 375; avg score 149; epsilon 0.8142285204
2025-01-26 17:12:48,673 - dqn - INFO - Finished episode 42; total score 60; avg score 147; epsilon 0.8101573778
2025-01-26 17:13:13,636 - dqn - INFO - Finished episode 43; total score 55; avg score 145; epsilon 0.8061065909
2025-01-26 17:13:35,381 - dqn - INFO - Finished episode 44; total score 110; avg score 144; epsilon 0.8020760580
2025-01-26 17:14:06,567 - dqn - INFO - Finished episode 45; total score 155; avg score 145; epsilon 0.7980656777
2025-01-26 17:14:26,669 - dqn - INFO - Finished episode 46; total score 80; avg score 143; epsilon 0.7940753493
2025-01-26 17:14:45,797 - dqn - INFO - Finished episode 47; total score 110; avg score 143; epsilon 0.7901049725
2025-01-26 17:15:08,915 - dqn - INFO - Finished episode 48; total score 340; avg score 147; epsilon 0.7861544477
2025-01-26 17:15:36,865 - dqn - INFO - Finished episode 49; total score 380; avg score 151; epsilon 0.7822236754
2025-01-26 17:16:04,032 - dqn - INFO - Finished episode 50; total score 180; avg score 152; epsilon 0.7783125571
2025-01-26 17:16:36,688 - dqn - INFO - Finished episode 51; total score 440; avg score 157; epsilon 0.7744209943
2025-01-26 17:17:03,529 - dqn - INFO - Finished episode 52; total score 135; avg score 157; epsilon 0.7705488893
2025-01-26 17:17:34,611 - dqn - INFO - Finished episode 53; total score 215; avg score 158; epsilon 0.7666961449
2025-01-26 17:18:03,661 - dqn - INFO - Finished episode 54; total score 155; avg score 158; epsilon 0.7628626641
2025-01-26 17:18:32,259 - dqn - INFO - Finished episode 55; total score 320; avg score 161; epsilon 0.7590483508
2025-01-26 17:19:00,301 - dqn - INFO - Finished episode 56; total score 410; avg score 165; epsilon 0.7552531091
2025-01-26 17:19:29,385 - dqn - INFO - Finished episode 57; total score 185; avg score 166; epsilon 0.7514768435
2025-01-26 17:19:57,797 - dqn - INFO - Finished episode 58; total score 185; avg score 166; epsilon 0.7477194593
2025-01-26 17:20:19,349 - dqn - INFO - Finished episode 59; total score 105; avg score 165; epsilon 0.7439808620
2025-01-26 17:20:46,876 - dqn - INFO - Finished episode 60; total score 210; avg score 166; epsilon 0.7402609577
2025-01-26 17:21:14,009 - dqn - INFO - Finished episode 61; total score 135; avg score 165; epsilon 0.7365596529
2025-01-26 17:21:52,825 - dqn - INFO - Finished episode 62; total score 325; avg score 168; epsilon 0.7328768546
2025-01-26 17:22:21,930 - dqn - INFO - Finished episode 63; total score 410; avg score 171; epsilon 0.7292124704
2025-01-26 17:22:35,593 - dqn - INFO - Finished episode 64; total score 50; avg score 170; epsilon 0.7255664080
2025-01-26 17:23:01,625 - dqn - INFO - Finished episode 65; total score 240; avg score 171; epsilon 0.7219385760
