2025-01-26 12:26:04,029 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'gamma': 0.6, 'batch_size': 64, 'learning_rate': 0.001, 'target_update': 100, 'n_steps': 4}
2025-01-26 12:26:04,030 - dqn - INFO - Device: cuda
2025-01-26 12:26:07,166 - dqn - INFO - Finished episode 0; total score 210; avg score 210; epsilon 1.0000000000
2025-01-26 12:26:09,333 - dqn - INFO - Finished episode 1; total score 60; avg score 135; epsilon 0.9950000000
2025-01-26 12:26:13,403 - dqn - INFO - Finished episode 2; total score 440; avg score 237; epsilon 0.9900250000
2025-01-26 12:26:15,205 - dqn - INFO - Finished episode 3; total score 45; avg score 189; epsilon 0.9850748750
2025-01-26 12:26:17,098 - dqn - INFO - Finished episode 4; total score 45; avg score 160; epsilon 0.9801495006
2025-01-26 12:26:20,401 - dqn - INFO - Finished episode 5; total score 195; avg score 166; epsilon 0.9752487531
2025-01-26 12:26:22,113 - dqn - INFO - Finished episode 6; total score 75; avg score 153; epsilon 0.9703725094
2025-01-26 12:26:25,598 - dqn - INFO - Finished episode 7; total score 230; avg score 162; epsilon 0.9655206468
2025-01-26 12:26:28,061 - dqn - INFO - Finished episode 8; total score 50; avg score 150; epsilon 0.9606930436
2025-01-26 12:26:37,780 - dqn - INFO - Finished episode 9; total score 260; avg score 161; epsilon 0.9558895784
2025-01-26 12:26:44,541 - dqn - INFO - Finished episode 10; total score 205; avg score 165; epsilon 0.9511101305
2025-01-26 12:26:46,975 - dqn - INFO - Finished episode 11; total score 60; avg score 156; epsilon 0.9463545798
2025-01-26 12:26:51,985 - dqn - INFO - Finished episode 12; total score 185; avg score 158; epsilon 0.9416228069
2025-01-26 12:26:54,598 - dqn - INFO - Finished episode 13; total score 95; avg score 154; epsilon 0.9369146929
2025-01-26 12:26:56,253 - dqn - INFO - Finished episode 14; total score 50; avg score 147; epsilon 0.9322301194
2025-01-26 12:26:58,125 - dqn - INFO - Finished episode 15; total score 20; avg score 139; epsilon 0.9275689688
2025-01-26 12:27:00,326 - dqn - INFO - Finished episode 16; total score 80; avg score 136; epsilon 0.9229311240
2025-01-26 12:27:04,723 - dqn - INFO - Finished episode 17; total score 480; avg score 155; epsilon 0.9183164684
2025-01-26 12:27:07,776 - dqn - INFO - Finished episode 18; total score 385; avg score 167; epsilon 0.9137248860
2025-01-26 12:27:09,748 - dqn - INFO - Finished episode 19; total score 135; avg score 165; epsilon 0.9091562616
2025-01-26 12:27:11,538 - dqn - INFO - Finished episode 20; total score 10; avg score 158; epsilon 0.9046104803
2025-01-26 12:27:13,186 - dqn - INFO - Finished episode 21; total score 140; avg score 157; epsilon 0.9000874279
2025-01-26 12:27:18,466 - dqn - INFO - Finished episode 22; total score 260; avg score 162; epsilon 0.8955869907
2025-01-26 12:27:22,000 - dqn - INFO - Finished episode 23; total score 240; avg score 165; epsilon 0.8911090558
2025-01-26 12:27:23,725 - dqn - INFO - Finished episode 24; total score 55; avg score 160; epsilon 0.8866535105
2025-01-26 12:27:27,724 - dqn - INFO - Finished episode 25; total score 210; avg score 162; epsilon 0.8822202429
2025-01-26 12:27:31,529 - dqn - INFO - Finished episode 26; total score 290; avg score 167; epsilon 0.8778091417
2025-01-26 12:27:34,408 - dqn - INFO - Finished episode 27; total score 50; avg score 163; epsilon 0.8734200960
2025-01-26 12:27:36,934 - dqn - INFO - Finished episode 28; total score 80; avg score 160; epsilon 0.8690529955
2025-01-26 12:27:41,271 - dqn - INFO - Finished episode 29; total score 210; avg score 162; epsilon 0.8647077306
2025-01-26 12:27:45,299 - dqn - INFO - Finished episode 30; total score 80; avg score 159; epsilon 0.8603841919
2025-01-26 12:27:47,160 - dqn - INFO - Finished episode 31; total score 105; avg score 157; epsilon 0.8560822710
2025-01-26 12:27:51,399 - dqn - INFO - Finished episode 32; total score 150; avg score 157; epsilon 0.8518018596
2025-01-26 12:27:54,603 - dqn - INFO - Finished episode 33; total score 180; avg score 158; epsilon 0.8475428503
2025-01-26 12:27:57,950 - dqn - INFO - Finished episode 34; total score 165; avg score 158; epsilon 0.8433051361
2025-01-26 12:28:02,859 - dqn - INFO - Finished episode 35; total score 325; avg score 163; epsilon 0.8390886104
2025-01-26 12:28:06,157 - dqn - INFO - Finished episode 36; total score 125; avg score 162; epsilon 0.8348931673
2025-01-26 12:28:07,982 - dqn - INFO - Finished episode 37; total score 65; avg score 159; epsilon 0.8307187015
2025-01-26 12:28:12,588 - dqn - INFO - Finished episode 38; total score 195; avg score 160; epsilon 0.8265651080
2025-01-26 12:28:15,875 - dqn - INFO - Finished episode 39; total score 160; avg score 160; epsilon 0.8224322824
2025-01-26 12:28:19,121 - dqn - INFO - Finished episode 40; total score 110; avg score 159; epsilon 0.8183201210
2025-01-26 12:28:22,795 - dqn - INFO - Finished episode 41; total score 405; avg score 165; epsilon 0.8142285204
2025-01-26 12:28:27,528 - dqn - INFO - Finished episode 42; total score 185; avg score 165; epsilon 0.8101573778
2025-01-26 12:28:33,585 - dqn - INFO - Finished episode 43; total score 80; avg score 163; epsilon 0.8061065909
2025-01-26 12:28:38,816 - dqn - INFO - Finished episode 44; total score 180; avg score 164; epsilon 0.8020760580
2025-01-26 12:28:40,531 - dqn - INFO - Finished episode 45; total score 45; avg score 161; epsilon 0.7980656777
2025-01-26 12:28:42,635 - dqn - INFO - Finished episode 46; total score 90; avg score 159; epsilon 0.7940753493
2025-01-26 12:28:47,274 - dqn - INFO - Finished episode 47; total score 365; avg score 164; epsilon 0.7901049725
2025-01-26 12:28:52,187 - dqn - INFO - Finished episode 48; total score 430; avg score 169; epsilon 0.7861544477
2025-01-26 12:28:55,129 - dqn - INFO - Finished episode 49; total score 160; avg score 169; epsilon 0.7822236754
2025-01-26 12:28:57,278 - dqn - INFO - Finished episode 50; total score 95; avg score 168; epsilon 0.7783125571
2025-01-26 12:29:01,598 - dqn - INFO - Finished episode 51; total score 325; avg score 171; epsilon 0.7744209943
2025-01-26 12:29:04,126 - dqn - INFO - Finished episode 52; total score 15; avg score 168; epsilon 0.7705488893
2025-01-26 12:29:05,912 - dqn - INFO - Finished episode 53; total score 100; avg score 166; epsilon 0.7666961449
2025-01-26 12:29:09,557 - dqn - INFO - Finished episode 54; total score 135; avg score 166; epsilon 0.7628626641
2025-01-26 12:29:12,940 - dqn - INFO - Finished episode 55; total score 120; avg score 165; epsilon 0.7590483508
2025-01-26 12:29:17,234 - dqn - INFO - Finished episode 56; total score 320; avg score 168; epsilon 0.7552531091
2025-01-26 12:29:18,445 - dqn - INFO - Finished episode 57; total score 45; avg score 166; epsilon 0.7514768435
2025-01-26 12:29:20,550 - dqn - INFO - Finished episode 58; total score 430; avg score 170; epsilon 0.7477194593
2025-01-26 12:29:22,832 - dqn - INFO - Finished episode 59; total score 60; avg score 168; epsilon 0.7439808620
2025-01-26 12:29:27,455 - dqn - INFO - Finished episode 60; total score 335; avg score 171; epsilon 0.7402609577
2025-01-26 12:29:31,877 - dqn - INFO - Finished episode 61; total score 780; avg score 181; epsilon 0.7365596529
2025-01-26 12:29:33,300 - dqn - INFO - Finished episode 62; total score 35; avg score 178; epsilon 0.7328768546
2025-01-26 12:29:34,979 - dqn - INFO - Finished episode 63; total score 75; avg score 177; epsilon 0.7292124704
2025-01-26 12:29:36,703 - dqn - INFO - Finished episode 64; total score 65; avg score 175; epsilon 0.7255664080
