2025-01-27 21:01:33,591 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'gamma': 0.9, 'batch_size': 64, 'learning_rate': 0.01, 'target_update': 100, 'n_steps': 3}
2025-01-27 21:01:33,591 - dqn - INFO - Device: cpu
2025-01-27 21:01:36,812 - dqn - INFO - Finished episode 0; total score 120; avg score 120; epsilon 1.0000000000
2025-01-27 21:01:39,016 - dqn - INFO - Finished episode 1; total score 65; avg score 92; epsilon 0.9950000000
2025-01-27 21:01:45,633 - dqn - INFO - Finished episode 2; total score 210; avg score 132; epsilon 0.9900250000
2025-01-27 21:01:49,966 - dqn - INFO - Finished episode 3; total score 325; avg score 180; epsilon 0.9850748750
2025-01-27 21:01:53,318 - dqn - INFO - Finished episode 4; total score 180; avg score 180; epsilon 0.9801495006
2025-01-27 21:01:54,976 - dqn - INFO - Finished episode 5; total score 35; avg score 156; epsilon 0.9752487531
2025-01-27 21:01:57,818 - dqn - INFO - Finished episode 6; total score 150; avg score 155; epsilon 0.9703725094
2025-01-27 21:02:02,270 - dqn - INFO - Finished episode 7; total score 225; avg score 164; epsilon 0.9655206468
2025-01-27 21:02:04,798 - dqn - INFO - Finished episode 8; total score 55; avg score 152; epsilon 0.9606930436
2025-01-27 21:02:06,984 - dqn - INFO - Finished episode 9; total score 40; avg score 140; epsilon 0.9558895784
2025-01-27 21:02:10,401 - dqn - INFO - Finished episode 10; total score 80; avg score 135; epsilon 0.9511101305
2025-01-27 21:02:12,164 - dqn - INFO - Finished episode 11; total score 20; avg score 125; epsilon 0.9463545798
2025-01-27 21:02:14,609 - dqn - INFO - Finished episode 12; total score 150; avg score 127; epsilon 0.9416228069
2025-01-27 21:02:17,717 - dqn - INFO - Finished episode 13; total score 190; avg score 132; epsilon 0.9369146929
2025-01-27 21:02:20,170 - dqn - INFO - Finished episode 14; total score 135; avg score 132; epsilon 0.9322301194
2025-01-27 21:02:23,112 - dqn - INFO - Finished episode 15; total score 110; avg score 131; epsilon 0.9275689688
2025-01-27 21:02:25,251 - dqn - INFO - Finished episode 16; total score 60; avg score 126; epsilon 0.9229311240
2025-01-27 21:02:28,292 - dqn - INFO - Finished episode 17; total score 190; avg score 130; epsilon 0.9183164684
2025-01-27 21:02:31,577 - dqn - INFO - Finished episode 18; total score 135; avg score 130; epsilon 0.9137248860
2025-01-27 21:02:34,531 - dqn - INFO - Finished episode 19; total score 110; avg score 129; epsilon 0.9091562616
2025-01-27 21:02:36,315 - dqn - INFO - Finished episode 20; total score 30; avg score 125; epsilon 0.9046104803
2025-01-27 21:02:39,323 - dqn - INFO - Finished episode 21; total score 135; avg score 125; epsilon 0.9000874279
2025-01-27 21:02:43,382 - dqn - INFO - Finished episode 22; total score 215; avg score 129; epsilon 0.8955869907
2025-01-27 21:02:46,314 - dqn - INFO - Finished episode 23; total score 110; avg score 128; epsilon 0.8911090558
2025-01-27 21:02:51,217 - dqn - INFO - Finished episode 24; total score 215; avg score 132; epsilon 0.8866535105
